id130,title,rank,province,alt,modern,description,country,batlas,awmc,dare,darmc,hanson,orbis,PECS,pleiades,topostext,TTPlace,trismegistos,vici,wikidata,wikipedia:en,start,latlon,lon,lat
6053,Furfooz,9,Germania Inferior,,,"An ancient place, cited: BAtlas 11 E2 Furfooz",Belgium,11 E2,160319,17437,22457,,,furfooz,108997,,,,8059,2443127,,-30,"50.2228683333,4.9596374",4.9596374,50.2228683333
6054,Fuweileh el-Gharbiyeh,9,Arabia Petraea,,,"An ancient place, cited: BAtlas 76 G1 Fuweileh el-Gharbiyeh",Jordan,76 G1,137795,28667,,,,,746737,,,,,,,-330,"30.011393,35.514218",35.514218,30.011393
6055,Gabbutūnu,9,Iudaea,,,A town mentioned in Neo-Assyrian sources; the modern site is Gibbetôn. An alternative name is Raʾs Abī Ḥamīd.,Israel,,,,,,,,329386245,,,,,2777464,,-720,"31.8889195815,34.8000846989",34.8000846989,31.8889195815
6056,Gabillou,9,Gallia Aquitania,,,"An ancient place, cited: BAtlas 14 G3 Gabillou",France,14 G3,164008,17613,22464,,,,138366,,,,59692,579792,,-30,"45.206301,1.034547",1.034547,45.206301
6057,Gabu Iunes,9,Creta et Cyrenaica,,,"An ancient place, cited: BAtlas 38 D1 Gabu Iunes",Libya,38 D1,135301,27233,,,,,373791,,,,,,,-30,"32.809071,22.045777",22.045777,32.809071
6058,Gajary,9,,,Gajary,"An ancient place, cited: BAtlas 13 B4 Gajary",Slovakia,13 B4,144504,33384,22469,,,,128398,,,,,1007388,,-30,"48.466148,16.923328",16.923328,48.466148
6059,Gal'adi,9,Arabia Petraea,,,A town mentioned in Neo-Assyrian sources; the modern site is Khirbet Ǧalʿad.,Jordan,,,,,,,,889522883,,,,,,,-1000,"32.0954515,35.7908645",35.7908645,32.0954515
6060,Galata,9,Moesia Inferior,,Galata,"An ancient place, cited: BAtlas 22 E5 Galata",Bulgaria,22 E5,139058,27852,34636,,,,216814,,,,,18151344,,-330,"43.170087,27.938903",27.938903,43.170087
6061,Galeata,9,Italia,,Galeata,"An ancient place, cited: BAtlas 42 B1 Galeata",Italy,42 B1,166523,18745,28471,,,,413154,,,,17471,106239493,,-30,"43.998918,11.914199",11.914199,43.998918
6062,Galounia,9,Cyprus,,Galounia,"An ancient place, cited: BAtlas 72 D2 Galounia",Cyprus,72 D2,153491,28421,,,,,707510,,,,,22988417,,-330,"35.443104,33.953123",33.953123,35.443104
6063,Gamburg,9,,,Gamburg,"An ancient place, cited: BAtlas 12 C3 Gamburg",Germany,12 C3,142793,17778,22472,,,,118688,,,,,1493006,,-30,"49.693474,9.600634",9.600634,49.693474
6064,Gannat,9,Gallia Aquitania,,,"An ancient place, cited: BAtlas 14 I2 Gannat",France,14 I2,135028,10327,22473,,,,138368,,,,,109707873,,-330,"46.099304,3.197837",3.197837,46.099304
6065,Garbias,9,Asia,,Garbias,"An ancient place, cited: BAtlas 56 C3 Garbias",Greece,56 C3,144693,29534,22479,,,,550543,,,,,,,-550,"39.081113,26.065514",26.065514,39.081113
6066,Gasr Banat,9,Africa Proconsularis,,,Gasr Banat was the site of a Roman centenarium.,Libya,35 G3,162417,22522,22486,,,,344362,,,,,2641357,,-330,"31.4584548892,14.6989203685",14.6989203685,31.4584548892
6067,Gasr Bandes,9,Creta et Cyrenaica,,Gasr Bandes,"An ancient place, cited: BAtlas 38 C1 Gasr Bandes",Libya,38 C1,147312,27235,22487,,,,373795,,,,60215,104806249,,-30,"32.73406,21.70659",21.70659,32.73406
6068,Gasr Beni Gdem,9,Creta et Cyrenaica,,Gasr Beni Gdem,"An ancient place, cited: BAtlas 38 C1 Gasr Beni Gdem",Libya,38 C1,140715,27236,13075,,,,373796,,,,,104884242,,-30,"32.6826905,21.559538",21.559538,32.6826905
6069,Gasr esc-Sceraba,9,,,Gasr esc-Sceraba,"An ancient place, cited: BAtlas 36 C6 Gasr esc-Sceraba",Libya,36 C6,153159,27178,,,,,354120,,,,,105994261,,-30,"25.982843,13.269774",13.269774,25.982843
6070,Gasr Gebra,9,Creta et Cyrenaica,,Gasr Gebra,"An ancient place, cited: BAtlas 38 D1 Gasr Gebra",Libya,38 D1,136680,27237,22488,,,,373806,,,,,104901401,,-550,"32.814446,22.058141",22.058141,32.814446
6071,Gasr Khuraybah,9,Creta et Cyrenaica,,Gasr Khuraybah,"An ancient place, cited: BAtlas 38 C1 Gasr Khuraybah",Libya,38 C1,141157,27238,22489,,,,373807,,,,,106411170,,-30,"32.861157,21.915368",21.915368,32.861157
6072,Gasr Mara,9,,,Gasr Mara,"An ancient place, cited: BAtlas 36 C5 Gasr Mara",Libya,36 C5,137492,27179,22490,,,,354121,,,,,105994605,,-30,"26.031861,13.352169",13.352169,26.031861
6073,Gasr Mismar,9,Creta et Cyrenaica,,Gasr Mismar,"An ancient place, cited: BAtlas 38 C1 Gasr Mismar",Libya,38 C1,160859,27239,22491,,,,373808,,,,,106411262,,-30,"32.773217,21.863314",21.863314,32.773217
6074,Gasr Raqiq,9,Creta et Cyrenaica,,Gasr Raqiq,"An ancient place, cited: BAtlas 38 D1 Gasr Raqiq",Libya,38 D1,165526,27240,22492,,,,373809,,,,,104901561,,-330,"32.826949,22.166377",22.166377,32.826949
6075,Gasr Sciza,9,Creta et Cyrenaica,,Gasr Sciza,"An ancient place, cited: BAtlas 38 C1 Gasr Sciza",Libya,38 C1,147313,27241,22493,,,,373810,,,,34931,104809931,,-30,"32.609638,21.646553",21.646553,32.609638
6076,Gastal,9,Africa Proconsularis,,Gastal,"An ancient place, cited: BAtlas 33 B1 Gastal",Algeria,33 B1,144275,32515,13076,,,,324710,,,,,10311272,,-30,"35.4164835,8.2493435",8.2493435,35.4164835
6077,Gatcombe,9,Britannia,,,"An ancient place, cited: BAtlas 8 E3 Gatcombe",United Kingdom,8 E3,159548,25605,30278,,,,79477,,,,,17676263,,-30,"51.437167,-2.67623",-2.67623,51.437167
6078,Gaujac,9,Gallia Narbonensis,,,"An ancient place, cited: BAtlas 15 D1 Gaujac",France,15 D1,141115,17349,16445,,,gaujac,148092,,,,,3523866,,-550,"44.0779582,4.55941645",4.55941645,44.0779582
6079,Gaukönigshofen,9,,,Gaukönigshofen,"An ancient place, cited: BAtlas 12 D3 Gaukönigshofen",Germany,12 D3,156878,1277,22496,,,,118689,,,,,527345,,-30,"49.633289,10.002276",10.002276,49.633289
6080,Gavaliana,9,Creta et Cyrenaica,,,"An ancient place, cited: BAtlas 60 C3 Gavaliana",Greece,60 C3,161905,28779,22497,,,,589792,350248XGav,,,,,,-30,"34.964922,24.811451",24.811451,34.964922
6081,Gavar,9,,Kamo,,"Refounded by Armenian refugees in the 19th century and renamed first Nor Bayаzet and then Kamo (1959-1995), the modern Armenian city of Gavar can trace occupation back to the Bronze Age.",Armenia,88 D4,144373,32667,32820,,,,863819,,,,,110653532,,-550,"40.3556943329,45.1333880474",45.1333880474,40.3556943329
6082,Gaziantep,9,Syria,,,"Gaziantep, also referred to as Antep, is located in southeastern Turkey. The site has a long history of settlement that begins in the Neolithic period. The site has a significant Hittite presence.",Türkiye,,170511,,,,,,534964140,,,,,93338,,-6200,"37.0611756,37.3793085",37.3793085,37.0611756
6083,Gazoros,9,Macedonia,,,"An ancient place, cited: BAtlas 51 B2 Gazoros",Greece,51 B2,139941,32327,34022,,,,501423,410238UGaz,,,,5529181,,-330,"41.016942,23.765874",23.765874,41.016942
6084,Gebel el-Nur,9,Aegyptus,,Gebel el-Nur,"An ancient place, cited: BAtlas 75 E3 Gebel el-Nur",Egypt,75 E3,145747,28549,22501,,,,736914,,,,,12204786,,-330,"28.953888,31.028491",31.028491,28.953888
6085,Gebel el-Teir el-Qibli,9,Aegyptus,,,"An ancient place, cited: BAtlas 75 D4 Gebel el-Teir el-Qibli",Egypt,75 D4,163501,28550,,,,,736915,,,,,,,-30,"28.228761,30.764134",30.764134,28.228761
6086,Gebel Zabara,9,,,Gebel Zabara,"An ancient place, cited: BAtlas 80 F4 Gebel Zabara",Egypt,80 F4,134620,30582,22500,,,,786028,,,,,115137832,,-30,"24.748949,34.731239",34.731239,24.748949
6087,Gebeler,9,Bithynia et Pontus,,Gebeler,"An ancient place, cited: BAtlas 86 C3 Gebeler",Türkiye,86 C3,157394,27482,22503,,,,844928,,,,,5529562,,-30,"40.634697,32.448444",32.448444,40.634697
6088,Gekhadir,9,,,,"An ancient place, cited: BAtlas 88 C4 Gekhadir",Armenia,88 C4,161369,32659,32818,,,,863790,,,,,,,-330,"40.189247,44.501305",44.501305,40.189247
6089,Gelah,9,,,Gelah,"An ancient place, cited: BAtlas 36 C5 Gelah",Libya,36 C5,153160,27180,22507,,,,354122,,,,,106506451,,-30,"26.698536,13.785884",13.785884,26.698536
6090,Gelbe Bürg,9,Raetia,,,"An ancient place, cited: BAtlas 12 D3 Gelbe Bürg",Germany,12 D3,163231,15903,22508,,,,118692,,,,,729042,Gelber_Berg,-30,"49.04853095,10.7786322",10.7786322,49.04853095
6091,Geldersheim,9,,,Geldersheim,"An ancient place, cited: BAtlas 12 D2 Geldersheim",Germany,12 D2,158053,1369,22509,,,,118693,,,,,558818,,-30,"50.041779,10.154622",10.154622,50.041779
6092,Gelli,9,,,Gelli,"An ancient place, cited: BAtlas 80 F4 Gelli",Egypt,80 F4,141874,30583,22511,,,,786029,,,,,174734,,-30,"24.482792,34.750874",34.750874,24.482792
6093,Gent,9,Mauretania Caesariensis,,Gent,"An ancient place, cited: BAtlas 29 E1 Gent",Algeria,29 E1,165930,26998,22520,,,,285445,,,,,1137665,,-30,"35.365217,-0.35433",-0.35433,35.365217
6094,Gera,9,,,,"An ancient place, cited: BAtlas 12 F2 Gera",Germany,12 F2,156919,34008,22523,,,,118694,,,,,101042,,-30,"50.90186,12.076946",12.076946,50.90186
6095,Gerena,9,Hispania Baetica,,Gerena,"An ancient place, cited: BAtlas 26 D4 Gerena",Spain,26 D4,150198,31261,15321,,,,256181,,,,15751,111448401,,-330,"37.525577,-6.157627",-6.157627,37.525577
6096,German,9,Thracia,,,"An ancient place, cited: BAtlas 49 F1 German",Bulgaria,49 F1,133671,31683,34638,,,,481843,,,,,188,,-30,"42.609562,23.410783",23.410783,42.609562
6097,Gevele,9,Asia,,Gevele,"An ancient place, cited: BAtlas 56 G5 Gevele",Türkiye,56 G5,137857,29539,22537,,,,550551,,,,,108973572,,-330,"38.158542,28.310325",28.310325,38.158542
6098,Gfonta,9,Creta et Cyrenaica,,Gfonta,"An ancient place, cited: BAtlas 38 C1 Gfonta",Libya,38 C1,145454,27242,22538,,,,373817,,,,,4782537,,-30,"32.743772,21.532618",21.532618,32.743772
6099,Ghargart,9,Aegyptus,,,"An ancient place, cited: None",Egypt,73 C4,166336,28455,22539,,,,716561,,,,,,,-330,"29.34394,25.37403",25.37403,29.34394
6100,Gheorgheni,9,Dacia,,,"An ancient place, cited: BAtlas 21 F3 Gheorgheni",Romania,21 F3,150951,33465,34640,,,,207132,,,,,16898294,,-30,"46.712293,23.688492",23.688492,46.712293
6101,Ghiaccio Forte,9,Italia,,Ghiaccio Forte,"Ghiaccio Forte was an Etruscan settlement, most likely founded in the fourth century B.C., that was sacked by the Romans ca. 280 B.C.",Italy,42 A3,144604,33600,28476,,,,413156,,,,,3761724,,-750,"42.6061983,11.392759",11.392759,42.6061983
6102,Ghirza,9,Africa Proconsularis,,Ghirza,Ghirza is the site of a Roman town in Libya.,Libya,35 G4,152912,30972,22541,,,ghirza,344376,,,,,17156042,Gaerisa,-30,"30.946691,14.551031",14.551031,30.946691
6103,Gialo,9,Creta et Cyrenaica,,Gialo,"An ancient place, cited: BAtlas 38 C4 Gialo",Libya,38 C4,140556,27243,22542,,,,373819,,,,,,,-30,"29.026153,21.548897",21.548897,29.026153
6104,Gibalbín,9,Hispania Baetica,,Gibalbín,"An ancient place, cited: BAtlas 26 E5 Gibalbín",Spain,26 E5,144064,31262,30284,,,,256182,,,,15752,108172339,,-30,"36.832864,-5.918158",-5.918158,36.832864
6105,Gicherra,9,Creta et Cyrenaica,,,"An ancient place, cited: BAtlas 38 C4 Gicherra",Libya,38 C4,146998,27244,22545,,,,373820,,,,,,,-30,"29.300075,21.64703",21.64703,29.300075
6106,Gielde,9,,,,"An ancient place, cited: BAtlas 10 G4 Gielde",Germany,10 G4,134993,12134,22547,,,,98966,,,,,114562684,,-30,"52.037116,10.493457",10.493457,52.037116
6107,Gien-le-Vieux,9,Gallia Lugdunensis,,,"An ancient place, cited: BAtlas 14 H1 Gien-le-Vieux",France,14 H1,164009,4442,,,,,138374,,,,,103162625,,-30,"47.695001,2.613066",2.613066,47.695001
6108,Gierstädt,9,,,,"An ancient place, cited: BAtlas 12 D1 Gierstädt",Germany,12 D1,135578,5288,22549,,,,118699,,,,,567950,,-30,"51.043693,10.827877",10.827877,51.043693
6109,Giffoni Valle Piana,9,Italia,,Giffoni Valle Piana,"An ancient place, cited: BAtlas 45 A3 Giffoni Valle Piana",Italy,45 A3,140510,29220,28478,,,,442600,,,,58848,112844607,,-30,"40.719034,14.943731",14.943731,40.719034
6110,Gilly-sur-Isère,9,Gallia Narbonensis,,Gilly-sur-Isère,"An archaeologically attested ""agglomération romaine"" (evidently equipped with port and warehouse facilities) at modern Gilly on the Isere river in France (about 4km downriver from Albertville).",France,17 G2,138363,7978,,,,,167783,,,,16754,1222427,,-30,"45.6583783333,6.3498606",6.3498606,45.6583783333
6111,Gioia dei Marsi,9,Italia,,Vico,"An ancient place, cited: BAtlas 44 E2 Gioia dei Marsi",Italy,44 E2,155006,26583,28479,,,,432865,,,,,18426778,,-330,"41.956093,13.684089",13.684089,41.956093
6112,Giorlanda,9,Italia,,,"An ancient place, cited: BAtlas 44 E1 Giurlanda",Italy,44 E1,149709,29135,28481,,,,432866,,,,,110613234,,-330,"42.026717,13.666003",13.666003,42.026717
6113,Gîrbău,9,Dacia,,Gârbău,"An ancient place, cited: BAtlas 21 F3 Gîrbău",Romania,21 F3,154612,33466,22553,,,,207136,,,,,102828206,,-30,"46.82423,23.363417",23.363417,46.82423
6114,Gîrbou,9,Dacia,,,"An ancient place, cited: BAtlas 21 F2 Gîrbou",Romania,21 F2,142550,33467,34641,,,,207137,,,,,,,-30,"47.160126,23.410212",23.410212,47.160126
6115,Giribaile,9,Hispania Tarraconensis,Castillo de Giribaile,,"An ancient place, cited: BAtlas 27 B3 Giribaile",Spain,27 B3,149167,26915,30287,,,,265905,,,,15820,5757344,,-330,"38.122254,-3.483153",-3.483153,38.122254
6116,Girmeç,9,Galatia et Cappadocia,,Girmeç,"An ancient place, cited: BAtlas 63 A1 Girmeç",Türkiye,63 A1,140943,27595,13088,,,,619166,,,,,97221372,,-330,"39.856288,32.2280845",32.2280845,39.856288
6117,Giv'at Olga,9,Iudaea,,Giv'at Olga,"An ancient place, cited: BAtlas 69 A5 Giv'at Olga",Israel,69 A5,152047,33308,22557,,,,678166,,,,,16131638,,-30,"32.446038,34.886225",34.886225,32.446038
6118,Givry,9,Gallia Belgica,,Givry,"An ancient place, cited: BAtlas 11 E2 Givry",Belgium,11 E2,150752,2069,22558,,,givry,109010,,,,,130239,,-30,"50.379106,4.028436",4.028436,50.379106
6119,Gjuzemelci,9,Macedonia,,Gjuzemelci,"An ancient place, cited: BAtlas 50 A1 Gjuzemelci",North Macedonia,50 A1,162665,32108,22559,,,,491603,,,,,3134500,,-30,"41.867281,21.847558",21.847558,41.867281
6120,Glauberg,9,,,,"Glauberg, located in Hesse, Germany, was a Celtic oppidum that included a fortified settlement and several burial mounds. It may have been the seat of an elite personage of the late Hallstatt and early La Tène periods.",Germany,12 C2,165855,15959,22561,,,,118701,,,,22698,564771,,-330,"50.3129935,9.0070073",9.0070073,50.3129935
6121,Gleichberge,9,,,,"An ancient place, cited: BAtlas 12 D2 Gleichberge",Germany,12 D2,167247,15920,22562,,,,118702,,,,,1548687,,-330,"50.3989925,10.5919105",10.5919105,50.3989925
6122,Gleichen,9,,,Gleichen,"An ancient place, cited: BAtlas 12 C1 Gleichen",Germany,12 C1,142794,3089,22563,,,,118703,,,,,1530231,,-30,"51.189991,9.31831",9.31831,51.189991
6123,Gleisdorf,9,Noricum,,Gleisdorf,"An ancient place, cited: BAtlas 20 C2 Gleisdorf",Austria,20 C2,156408,13967,22564,,,,197284,,,,,643600,,-30,"47.104745,15.711324",15.711324,47.104745
6124,Glišič,9,Macedonia,,,"An ancient place, cited: BAtlas 50 B2 Glišič",North Macedonia,50 B2,156276,32109,22566,,,,491604,,,,,105061440,,-30,"41.466915,22.03656",22.03656,41.466915
6125,Glubokaya Pristan',9,,,,"An ancient place, cited: BAtlas 23 F2 Glubokaya Pristan'",Russia,23 F2,157538,27910,22567,,,,226606,,,,,,,-330,"46.582161,32.18189",32.18189,46.582161
6126,Goddua,9,,,,"An ancient place, cited: BAtlas 36 D5 Goddua",Libya,36 D5,161567,27181,22570,,,,354125,,,,,,,-30,"26.498927,14.346274",14.346274,26.498927
6127,Godjer,9,,,,"An ancient place, cited: BAtlas 90 B3 Godjer",Iran,90 B3,165108,33847,32109,,,,884158,,,,,,,-30,"37.323454,46.554051",46.554051,37.323454
6128,Goincet,9,Gallia Lugdunensis,,,"An ancient place, cited: BAtlas 17 C2 Goincet",France,17 C2,134843,17688,16383,,,,167784,,,,,,,-330,"45.742373,4.156305",4.156305,45.742373
6129,Gökçeağaç,9,Bithynia et Pontus,,Gökçeağaç,"An ancient place, cited: BAtlas 86 E2 Gökçeağaç",Türkiye,86 E2,161016,27483,22572,,,,844932,,,,34492,109386494,,-30,"41.633325,34.429524",34.429524,41.633325
6130,Gökçesu,9,Bithynia et Pontus,,Gökçesu,"An ancient place, cited: BAtlas 86 B3 Gökçesu",Türkiye,86 B3,163698,27484,22573,,,,844933,,,,,108227434,,-30,"40.906522,31.905856",31.905856,40.906522
6131,Golemo selo,9,Thracia,,Golemo selo,"An ancient place, cited: BAtlas 49 F1 Golemo selo",Bulgaria,49 F1,156206,31684,34642,,,,481845,,,,35175,2456395,,-30,"42.293242,23.042092",23.042092,42.293242
6132,Goražde,9,Dalmatia,,Goražde,"An ancient place, cited: BAtlas 21 A6 Goražde",Bosnia and Herzegovina,21 A6,164977,26436,22581,,,,207142,,,,,12288904,,-30,"43.67068,18.975308",18.975308,43.67068
6133,Gorno Kobile,9,Moesia Superior,,Gorno Kobile,"An ancient place, cited: BAtlas 49 E1 Gorno Kobile",Bulgaria,49 E1,133672,31685,22586,,,,481846,,,,,1083926,,-30,"42.561112,22.465404",22.465404,42.561112
6134,Gorno Ujno,9,Thracia,,Gorno Uyno,"An ancient place, cited: BAtlas 49 E1 Gorno Ujno",Bulgaria,49 E1,144654,31686,22587,,,,481847,,,,,1084031,,-30,"42.444756,22.664539",22.664539,42.444756
6135,Gortynia,9,Macedonia,,,"An ancient place, cited: BAtlas 50 C2 Gortynia",North Macedonia,50 C2,156277,32110,20057,,,,491605,412225UGor,,,,7915540,Vardarski_Rid,-550,"41.151379,22.514174",22.514174,41.151379
6136,Gorubljane,9,Thracia,,,"An ancient place, cited: BAtlas 49 F1 Gorubljane",Bulgaria,49 F1,154223,31687,22591,,,,481848,,,,,,,-30,"42.610397,23.421808",23.421808,42.610397
6137,Gosbecks,9,Britannia,,,The Gosbecks farm site is the location of a Romano-Celtic temple. The shrine measures 100 meters square and a pre-Roman enclosure lies within the later temenos. The pre-Roman site was likely sacred to the war-god Camulos.,United Kingdom,8 H3,135869,20030,,,,,79486,,,,,105780578,,-30,"51.8668191893,0.856830938413",0.856830938413,51.8668191893
6138,Gospodinci,9,Thracia,,,"An ancient place, cited: BAtlas 51 B1 Gospodinci",Bulgaria,51 B1,144241,32328,22592,,,,501424,,,,,2653858,Gospodintsi,-30,"41.650776,23.725966",23.725966,41.650776
6139,Gouraya,9,Mauretania Caesariensis,,Gouraya,"An ancient place, cited: BAtlas 30 C3 Gouraya",Algeria,30 C3,149272,27064,22593,,,,295267,,,,,103162772,,-550,"36.566844,1.905412",1.905412,36.566844
6140,Gradenitsy,9,,,,"An ancient place, cited: BAtlas 23 D2 Gradenitsy",Ukraine,23 D2,145643,27913,34807,,,,226610,,,,,,,-550,"46.598439,29.997882",29.997882,46.598439
6141,Gradište,9,Moesia Superior,,Gradište,"An ancient place, cited: BAtlas 21 E6 Gradište",Serbia,21 E6,142553,33468,34048,,,,207155,,,,,2413900,,-30,"43.503016,22.260537",22.260537,43.503016
6142,Grai Darki,9,,,,"An ancient place, cited: BAtlas 89 E4 Grai Darki",Iraq,89 E4,166211,32761,32910,,,,874489,,,,,,,-330,"36.702445,42.959707",42.959707,36.702445
6143,Grandford,9,Britannia,,,"The remains of a Romano-British settlement at Grandford, Cambridgeshire, were identified by aerial photography.",United Kingdom,,,,,,,,65728677,,,,,,,43,"52.576919,0.05448",0.05448,52.576919
6144,Granges,9,Gallia Lugdunensis,,Granges,"An ancient place, cited: BAtlas 18 B3 Granges",France,18 B3,142309,14047,22600,,,,177530,,,,,10509721,,-330,"46.744441,4.729719",4.729719,46.744441
6145,Gravelly Guy,9,Britannia,,,"A settlement near modern Stanton Harcourt, Oxfordshire, England, occupied from the late Neolithic through the Roman periods.",United Kingdom,,,,,,,,450971682,,,,,,,-2500,"51.7455034552,-1.41697391055",-1.41697391055,51.7455034552
6146,Great Bulmore,9,Britannia,,,"Site of a suburban Roman settlement on the bank of the river Usk, 2 km. north-east of the legionary fortress at Caerleon.",United Kingdom,,,,,,,,972561590,,,,,,,43,"51.618753,-2.927247",-2.927247,51.618753
6147,Great Casterton,9,Britannia,,Great Casterton,"An ancient place, cited: BAtlas 8 G2 Great Casterton",United Kingdom,8 G2,164380,25478,30290,,,,79487,,,,12353,103162827,,-30,"52.670423,-0.522675",-0.522675,52.670423
6148,Great Chesterford,9,Britannia,,Great Chesterford,Site of a first century A.D. Roman fort and later Roman town.,United Kingdom,8 H2,134630,25528,30291,,,,79488,,,,,1020030,,-30,"52.0661992274,0.19132413247",0.19132413247,52.0661992274
6149,Great Dunmow,9,Britannia,,Great Dunmow,"An ancient place, cited: BAtlas 8 H3 Great Dunmow",United Kingdom,8 H3,143871,25531,30292,,,,79489,,,,,104382917,,-30,"51.871698,0.363357",0.363357,51.871698
6150,Gristede,9,,,Gristede,"An ancient place, cited: BAtlas 10 E3 Gristede",Germany,10 E3,148392,18183,22604,,,,98968,,,,,107466379,,-30,"53.223203,8.053076",8.053076,53.223203
6151,Grizilevci,9,Macedonia,,,"An ancient place, cited: BAtlas 49 E1 Grizilevci",North Macedonia,49 E1,133674,31688,22605,,,,481851,,,,,115120421,,-30,"42.017752,22.176757",22.176757,42.017752
6152,Grljane,9,Thracia,,,"An ancient place, cited: BAtlas 50 C1 Grljane",North Macedonia,50 C1,159761,32112,22606,,,,491608,,,,,,,-30,"41.944664,22.617398",22.617398,41.944664
6153,Grnčište,9,Macedonia,,,"An ancient place, cited: BAtlas 50 A1 Grnčište",North Macedonia,50 A1,158505,32113,22607,,,,491609,,,,,20939015,,-30,"41.641496,21.847604",21.847604,41.641496
6154,Grobbendonk,9,Germania Inferior,,Grobbendonk,"An ancient place, cited: BAtlas 11 E1 Grobbendonk",Belgium,11 E1,152330,17435,22608,,,,109019,,,,,103162964,,-30,"51.190693,4.738514",4.738514,51.190693
6155,Gröbming,9,Noricum,,,"An ancient place, cited: BAtlas 19 F2 Gröbming",Austria,19 F2,146535,17679,22609,,,,187401,,,,,700597,,-30,"47.444853,13.901605",13.901605,47.444853
6156,Gromshin,9,Moesia Inferior,,Gromshin,"An ancient place, cited: BAtlas 21 F6 Gromshin",Bulgaria,21 F6,146702,33469,34644,,,,207160,,,,,1085542,,-30,"43.525638,23.491842",23.491842,43.525638
6157,Grostenquin,9,Gallia Belgica,,Grostenquin,"An ancient place, cited: BAtlas 11 G4 Grostenquin",France,11 G4,139015,7743,22612,,,,109021,,,,,22032,,-30,"48.979798,6.738424",6.738424,48.979798
6158,Grotte des Tuilières,9,Gallia Aquitania,,,"An ancient place, cited: BAtlas 14 G4 Grotte des Tuilières",France,14 G4,154588,17601,22614,,,,138380,,,,,,,-550,"44.668637,1.87829",1.87829,44.668637
6159,Grotte di Castro,9,Italia,,,"An ancient place, cited: BAtlas 42 B3 Grotte di Castro",Italy,42 B3,146752,25502,28485,,,,413158,,,,,3678794,,-750,"42.6746975,11.8709385",11.8709385,42.6746975
6160,Grozon,9,Germania Superior,,Grozon,"An ancient place, cited: BAtlas 18 C3 Grozon",France,18 C3,136188,6005,22616,,,,177531,,,,16863,109575721,,-30,"46.890112,5.700704",5.700704,46.890112
6161,Gudme,9,,,Gudme,"An ancient place, cited: BAtlas 10 G1 Gudme",Denmark,10 G1,136242,23100,22620,,,,98970,,,,,3414292,,-30,"55.14885395,10.7100173",10.7100173,55.14885395
6162,Gué-de-Sciaux,9,Gallia Aquitania,,,"An ancient place, cited: BAtlas 14 F2 Gué-de-Sciaux",France,14 F2,154589,13055,,,,,138381,,,,,103173132,,-30,"46.535959,0.853913",0.853913,46.535959
6163,Guetna,9,Mauretania Caesariensis,,Guetna,"An ancient place, cited: BAtlas 29 E1 Guetna",Algeria,29 E1,143290,26999,22623,,,,285447,,,,,23811379,,-30,"35.392496,-0.057595",-0.057595,35.392496
6164,Gujinovci,9,Macedonia,,,"An ancient place, cited: BAtlas 50 B1 Gujinovci",North Macedonia,50 B1,156278,32114,22624,,,,491610,,,,,,,-30,"41.899585,22.197178",22.197178,41.899585
6165,Günstedt,9,,,Günstedt,"An ancient place, cited: BAtlas 12 E1 Günstedt",Germany,12 E1,166601,11596,22627,,,,118715,,,,,556420,,-30,"51.223413,11.083527",11.083527,51.223413
6166,Guntramsdorf,9,Pannonia Superior,,Guntramsdorf,"An ancient place, cited: BAtlas 13 B4 Guntramsdorf",Austria,13 B4,133788,26447,13524,,,,128406,,,,,661877,,-30,"48.047287,16.314093",16.314093,48.047287
6167,Gurina,9,Noricum,,,"An ancient place, cited: BAtlas 19 F3 Gurina",Austria,19 F3,148298,13966,22629,,,,187403,,,,,1555187,,-330,"46.661699,13.079529",13.079529,46.661699
6168,Güzelce Kale,9,Galatia et Cappadocia,,,"An ancient place, cited: BAtlas 63 B2 Güzelce Kale",Türkiye,63 B2,141279,27596,22631,,,,619168,,,,,,,-330,"39.321242,32.726928",32.726928,39.321242
6169,Gvandra,9,,,Gvandra,"An ancient place, cited: BAtlas 87 F1 Gvandra",Abkhazia,87 F1,137931,29557,22632,,,,857142,,,,,12863122,,-330,"43.077379,40.859971",40.859971,43.077379
6170,H-17-I,9,Africa Proconsularis,,,"An ancient place, cited: BAtlas 32 F4 H-17-I",Tunisia,32 F4,138003,28090,,,,,314971,,,,,,,-30,"36.396613,10.349731",10.349731,36.396613
6171,Haarhausen,9,,,Haarhausen,"An ancient place, cited: BAtlas 12 D2 Haarhausen",Germany,12 D2,165181,6769,22640,,,,118720,,,,,100896921,,-30,"50.863721,10.898468",10.898468,50.863721
6172,Hacheston,9,Britannia,,,"Site of a Romano-British settlement dating from the first-fourth centuries CE, located near modern Wickham Market in Suffolk.",United Kingdom,,,,,,,,514227899,,,,,,,43,"52.1613941,1.3798633",1.3798633,52.1613941
6173,Hacımusalar Höyük,9,Lycia et Pamphylia,,,A large settlement mound in modern Turkey's Elmalı basin where habitation from the Early Bronze Age through the Byzantine period has been documented. The city was known to Greek and Roman authors as Choma.,Türkiye,65 C4,155315,27717,,,,,638803,366298UCho,,,,6097357,,-2000,"36.6423821546,29.8360091859",29.8360091859,36.6423821546
6174,Haddamar,9,,,,"An ancient place, cited: BAtlas 12 C1 Haddamar I",Germany,12 C1,147212,18195,22641,,,,118721,,,,,,,-30,"51.160863,9.264062",9.264062,51.160863
